SAMPLE_ID	brca_metabric_mutations	brca_metabric_cna	brca_metabric_mrna
MB-0000	METABRIC_173	METABRIC_173	METABRIC_173
MB-0002	METABRIC_173	METABRIC_173	METABRIC_173
MB-0005	METABRIC_173	METABRIC_173	METABRIC_173
MB-0006	METABRIC_173	METABRIC_173	METABRIC_173
MB-0008	METABRIC_173	METABRIC_173	METABRIC_173
MB-0010	METABRIC_173	METABRIC_173	METABRIC_173
MB-0014	METABRIC_173	METABRIC_173	METABRIC_173
MB-0020	METABRIC_173	METABRIC_173	METABRIC_173
MB-0022	METABRIC_173	METABRIC_173	METABRIC_173
MB-0025	METABRIC_173	METABRIC_173	METABRIC_173
MB-0028	METABRIC_173	METABRIC_173	METABRIC_173
MB-0035	METABRIC_173	METABRIC_173	METABRIC_173
MB-0036	METABRIC_173	METABRIC_173	METABRIC_173
MB-0039	METABRIC_173	METABRIC_173	METABRIC_173
MB-0045	METABRIC_173	METABRIC_173	METABRIC_173
MB-0046	METABRIC_173	METABRIC_173	METABRIC_173
MB-0048	METABRIC_173	METABRIC_173	METABRIC_173
MB-0050	METABRIC_173	METABRIC_173	METABRIC_173
MB-0053	METABRIC_173	METABRIC_173	METABRIC_173
MB-0054	METABRIC_173	METABRIC_173	METABRIC_173
MB-0056	METABRIC_173	METABRIC_173	METABRIC_173
MB-0059	METABRIC_173	METABRIC_173	METABRIC_173
MB-0060	METABRIC_173	METABRIC_173	METABRIC_173
MB-0062	METABRIC_173	METABRIC_173	METABRIC_173
MB-0064	METABRIC_173	METABRIC_173	METABRIC_173
MB-0066	METABRIC_173	METABRIC_173	METABRIC_173
MB-0068	METABRIC_173	METABRIC_173	METABRIC_173
MB-0071	METABRIC_173	METABRIC_173	METABRIC_173
MB-0079	METABRIC_173	METABRIC_173	METABRIC_173
MB-0081	METABRIC_173	METABRIC_173	METABRIC_173
MB-0083	METABRIC_173	METABRIC_173	METABRIC_173
MB-0093	METABRIC_173	METABRIC_173	METABRIC_173
MB-0095	METABRIC_173	METABRIC_173	METABRIC_173
MB-0097	METABRIC_173	METABRIC_173	METABRIC_173
MB-0099	METABRIC_173	METABRIC_173	METABRIC_173
